design,removed_feature,scenario,outcome,correct_checkpoint_finalized,terminates,deterministic,trace
full,none,dependent_fault,CORRECTED,True,True,True,publish invalid ADMIT and dependent AGGREGATE -> challenge ADMIT -> revise ADMIT -> supersede INCLUDE/AGGREGATE descendants -> publish corrected descendants -> finalize corrected checkpoint
full,none,correction_laundering,CORRECTED,True,True,True,publish invalid checkpoint -> challenge and revise -> coordinator publishes invalid replacement -> open fresh window -> challenge replacement -> install valid correction -> finalize corrected checkpoint
full,none,repeated_faults,CORRECTED,True,True,True,initial revision -> publish invalid replacement 1 -> challenge replacement 1 -> publish invalid replacement 2 -> challenge replacement 2 -> publish invalid replacement 3 -> challenge replacement 3 -> retry budget exhausted -> certified fallback -> finalize corrected checkpoint
full,none,resolver_unavailable,SAFE_ABORT,False,True,True,open supported challenge -> resolver deadline expires -> fail-closed abort
full,none,concurrent_conflicts,CORRECTED,True,True,True,open ancestor and descendant challenges in one epoch -> freeze epoch snapshot -> resolve ancestor first -> mark descendant challenge MOOT -> finalize one corrected lineage
no_snapshot,frozen_snapshot,dependent_fault,CORRECTED,True,True,True,publish invalid ADMIT and dependent AGGREGATE -> challenge ADMIT -> revise ADMIT -> supersede INCLUDE/AGGREGATE descendants -> publish corrected descendants -> finalize corrected checkpoint
no_snapshot,frozen_snapshot,correction_laundering,CORRECTED,True,True,True,publish invalid checkpoint -> challenge and revise -> coordinator publishes invalid replacement -> open fresh window -> challenge replacement -> install valid correction -> finalize corrected checkpoint
no_snapshot,frozen_snapshot,repeated_faults,CORRECTED,True,True,True,initial revision -> publish invalid replacement 1 -> challenge replacement 1 -> publish invalid replacement 2 -> challenge replacement 2 -> publish invalid replacement 3 -> challenge replacement 3 -> retry budget exhausted -> certified fallback -> finalize corrected checkpoint
no_snapshot,frozen_snapshot,resolver_unavailable,SAFE_ABORT,False,True,True,open supported challenge -> resolver deadline expires -> fail-closed abort
no_snapshot,frozen_snapshot,concurrent_conflicts,ORDER_DEPENDENT,False,True,False,open ancestor and descendant challenges in one epoch -> evaluate against mutable state -> outcome depends on transaction order
no_propagation,dependency_propagation,dependent_fault,FAULTY_FINALIZED,False,True,True,publish invalid ADMIT and dependent AGGREGATE -> challenge ADMIT -> revise ADMIT -> dependent AGGREGATE remains current -> finalize obsolete checkpoint
no_propagation,dependency_propagation,correction_laundering,CORRECTED,True,True,True,publish invalid checkpoint -> challenge and revise -> coordinator publishes invalid replacement -> open fresh window -> challenge replacement -> install valid correction -> finalize corrected checkpoint
no_propagation,dependency_propagation,repeated_faults,CORRECTED,True,True,True,initial revision -> publish invalid replacement 1 -> challenge replacement 1 -> publish invalid replacement 2 -> challenge replacement 2 -> publish invalid replacement 3 -> challenge replacement 3 -> retry budget exhausted -> certified fallback -> finalize corrected checkpoint
no_propagation,dependency_propagation,resolver_unavailable,SAFE_ABORT,False,True,True,open supported challenge -> resolver deadline expires -> fail-closed abort
no_propagation,dependency_propagation,concurrent_conflicts,CORRECTED,True,True,True,open ancestor and descendant challenges in one epoch -> freeze epoch snapshot -> resolve ancestor first -> mark descendant challenge MOOT -> finalize one corrected lineage
