design,removed_feature,scenario,checked_property,outcome,terminates,canonical_safe,order_independent,reachable_states,transitions,terminal_observations,witness_trace
full,none,concurrent_ancestor_descendant_challenges,order-independent adjudication of challenges admitted in one window,ORDER_INDEPENDENT,True,True,True,7,7,"ADMIT=REVISED,AGGREGATE=MOOT",evaluate admit challenge on frozen Q0 -> evaluate aggregate challenge on frozen Q0 -> apply accepted corrections in dependency order -> revise ADMIT and supersede its aggregate descendant -> mark aggregate challenge MOOT because its target was superseded
full,none,ancestor_revision_with_dependent_aggregate,parent-consistent terminal closure after an ancestor revision,CORRECTED,True,True,True,5,4,FINALIZED,revise ADMIT v0->v1 and mark dependent AGGREGATE missing -> publish corrected AGGREGATE bound to ADMIT v1 in a fresh window -> close the valid aggregate replacement window -> finalize the parent-consistent checkpoint
full,none,invalid_replacement_after_successful_challenge,an uncertified replacement cannot inherit the expired window,CORRECTED,True,True,True,4,3,VALID_FINALIZED,coordinator publishes an invalid replacement -> coverage challenges the replacement; resolver installs a certified valid correction -> finalize the terminal replacement
full,none,repeated_faulty_replacements,finite recovery under repeated faulty republication,TERMINAL_CLOSURE,True,True,True,8,7,FINALIZED,publish another invalid provisional replacement -> coverage challenges the invalid replacement -> publish another invalid provisional replacement -> coverage challenges the invalid replacement -> publish another invalid provisional replacement -> coverage challenges the invalid replacement -> retry budget exhausted; certified fallback finalizes
full,none,resolver_unavailable,terminal fail-closed behavior after resolver timeout,SAFE_ABORT,True,True,True,2,1,ABORTED,resolver deadline expires; execute fail-closed safe abort
no_snapshot,frozen_snapshot,concurrent_ancestor_descendant_challenges,order-independent adjudication of challenges admitted in one window,ORDER_SENSITIVE_ADJUDICATION,True,True,False,5,4,"ADMIT=REVISED,AGGREGATE=MOOT | ADMIT=REVISED,AGGREGATE=REVISED","[ADMIT=REVISED,AGGREGATE=MOOT] resolve ADMIT first; supersede current aggregate -> resolve AGGREGATE after ancestor revision; target is no longer current || [ADMIT=REVISED,AGGREGATE=REVISED] resolve AGGREGATE while old admission is current -> resolve ADMIT first; supersede current aggregate"
no_propagation,dependency_propagation,ancestor_revision_with_dependent_aggregate,parent-consistent terminal closure after an ancestor revision,DEADLOCK_PARENT_MISMATCH,False,True,True,2,1,none,revise ADMIT v0->v1 but leave the aggregate head selected
no_fresh_window,fresh_replacement_window,invalid_replacement_after_successful_challenge,an uncertified replacement cannot inherit the expired window,INVALID_FINALIZED,True,False,True,3,2,INVALID_FINALIZED,coordinator publishes an invalid replacement -> finalize the terminal replacement
no_retry_bound,bounded_retries,repeated_faulty_replacements,finite recovery under repeated faulty republication,NONTERMINAL_CYCLE,False,True,True,2,2,none,initial state -> [reachable non-terminal SCC repeats]
no_fallback_abort,fallback_or_abort,resolver_unavailable,terminal fail-closed behavior after resolver timeout,DEADLOCK_AT_TIMEOUT,False,True,True,1,0,none,initial state
